beta,mean_energy,mean_magnetization,mean_magnetization_sq,specific_heat
0.1,-0.203794,0.00761169,9.67043e-05,1.19706e-06
0.125,-0.257048,0.00753479,8.9215e-05,1.95372e-06
0.15,-0.312252,0.00858765,0.000113774,3.37327e-06
0.175,-0.368392,0.00983276,0.000144606,4.20978e-06
0.2,-0.42835,0.010564,0.000183271,6.42409e-06
0.225,-0.490358,0.0104608,0.000175629,8.36088e-06
0.25,-0.556163,0.0135706,0.00027759,9.42675e-06
0.275,-0.627686,0.0146381,0.000358682,1.4277e-05
0.3,-0.70287,0.0182495,0.000495528,2.00894e-05
0.325,-0.787218,0.0198096,0.000618789,1.97719e-05
0.35,-0.880408,0.0248187,0.000966619,2.83423e-05
0.375,-0.983741,0.0359424,0.00183935,3.78768e-05
0.4,-1.10671,0.0516821,0.00398283,5.43235e-05
0.425,-1.25969,0.117313,0.0216878,7.95776e-05
0.45,-1.5115,0.745659,0.557516,0.000105734
0.475,-1.65683,0.866277,0.750555,6.27004e-05
0.5,-1.74651,0.9118,0.831421,4.15684e-05
0.525,-1.80566,0.936875,0.877762,3.9957e-05
0.55,-1.85067,0.947037,0.901665,3.22154e-05
0.575,-1.88392,0.965408,0.932022,2.40279e-05
0.6,-1.90931,0.973711,0.948119,1.96031e-05
0.625,-1.92662,0.956423,0.928325,5.27393e-05
0.65,-1.94002,0.947228,0.921141,6.55592e-05
0.675,-1.95525,0.987673,0.9755,1.24078e-05
0.7,-1.95926,0.91535,0.89013,0.000113479
0.725,-1.952,0.668769,0.606899,0.000280409
0.75,-1.97669,0.99377,0.98758,7.61713e-06
0.775,-1.9787,0.951831,0.936786,7.17488e-05
0.8,-1.98485,0.996017,0.99205,4.6865e-06
0.825,-1.97841,0.83591,0.795314,0.000226497
0.85,-1.99007,0.997418,0.994842,3.77139e-06
0.875,-1.98876,0.957695,0.939992,9.17969e-05
0.9,-1.99344,0.9983,0.996602,2.69306e-06
0.925,-1.99244,0.963178,0.9514,7.7579e-05
0.95,-1.99546,0.998834,0.99767,1.74284e-06
0.975,-1.99497,0.971716,0.96403,5.9539e-05
