beta,mean_energy,mean_magnetization,mean_magnetization_sq,specific_heat
0.01,-0.0206409,0.00692932,6.94447e-05,1.21816e-08
0.035,-0.0708313,0.00701599,7.04899e-05,1.42551e-07
0.06,-0.122119,0.00687256,7.26983e-05,4.34481e-07
0.085,-0.171559,0.00820679,0.00010562,8.32433e-07
0.11,-0.22504,0.00860413,0.000108159,1.33671e-06
0.135,-0.27854,0.00834839,0.000115593,2.49734e-06
0.16,-0.334733,0.00949402,0.000138829,3.93562e-06
0.185,-0.3921,0.0101221,0.000151588,5.33321e-06
0.21,-0.45293,0.0105035,0.000173291,7.08874e-06
0.235,-0.517478,0.0120947,0.000232756,9.65469e-06
0.26,-0.583749,0.0130328,0.000272433,1.21272e-05
0.285,-0.656146,0.0160175,0.000408691,1.79916e-05
0.31,-0.735669,0.0161792,0.000434012,1.84824e-05
0.335,-0.823864,0.0226501,0.000821539,2.43264e-05
0.36,-0.920532,0.029881,0.00135874,3.47612e-05
0.385,-1.0291,0.0376086,0.00210386,4.20796e-05
0.41,-1.16058,0.0630151,0.00616081,5.42508e-05
0.435,-1.346,0.259031,0.0971601,0.000113596
0.46,-1.5823,0.814915,0.664443,8.23219e-05
0.485,-1.69716,0.88813,0.788861,5.92756e-05
0.51,-1.77225,0.923304,0.85253,4.03444e-05
0.535,-1.82539,0.944343,0.891801,3.17143e-05
0.56,-1.86582,0.959184,0.920044,2.46569e-05
0.585,-1.8945,0.968912,0.938798,1.97601e-05
0.61,-1.91776,0.976307,0.953181,1.81989e-05
0.635,-1.93375,0.981287,0.962928,1.65623e-05
0.66,-1.89878,0.265717,0.0876502,1.4661e-05
0.685,-1.95906,0.988807,0.977741,1.018e-05
0.71,-1.96678,0.991007,0.982097,9.40348e-06
0.735,-1.9621,0.87985,0.820475,0.000211998
0.76,-1.96707,0.861754,0.798944,0.000231759
0.785,-1.98264,0.995422,0.990866,5.80971e-06
0.81,-1.98636,0.99644,0.992893,4.18481e-06
0.835,-1.94579,0.273294,0.0983225,4.67893e-06
0.86,-1.99089,0.997636,0.995278,3.30816e-06
0.885,-1.99261,0.998087,0.996177,3.29538e-06
0.91,-1.99391,0.998434,0.996872,2.42464e-06
0.935,-1.99501,0.99872,0.997442,2.38424e-06
0.96,-1.95557,0.144662,0.0309401,2.47438e-06
0.985,-1.99685,0.9992,0.9984,1.36826e-06
