beta,h,mean_energy,mean_magnetization_abs,mean_magnetization,specific_heat
0.1,-1,0.122748,0.0693372,0.0693372,2.0089e-06
0.1,-0.95,0.128667,0.0660461,0.0660461,1.99474e-06
0.1,-0.9,0.138873,0.0625781,0.0625781,1.84685e-06
0.1,-0.85,0.144263,0.0584668,0.0584668,1.60454e-06
0.1,-0.8,0.150777,0.0551868,0.0551868,2.00347e-06
0.1,-0.75,0.159563,0.0516052,0.0516052,1.59694e-06
0.1,-0.7,0.163031,0.0485339,0.0485339,1.63961e-06
0.1,-0.65,0.167933,0.0454993,0.0454993,2.03142e-06
0.1,-0.6,0.172934,0.0424243,0.0424243,1.46564e-06
0.1,-0.55,0.178956,0.0388745,0.0388745,1.38217e-06
0.1,-0.5,0.182462,0.0342065,0.0342065,1.64321e-06
0.1,-0.45,0.187687,0.0309045,0.0309045,1.49097e-06
0.1,-0.4,0.19176,0.0275024,0.0275024,1.14657e-06
0.1,-0.35,0.192547,0.024823,0.024823,1.27554e-06
0.1,-0.3,0.196775,0.0201428,0.0201428,1.47221e-06
0.1,-0.25,0.199004,0.0170129,0.0170129,1.37947e-06
0.1,-0.2,0.200075,0.0147742,0.0147742,1.26112e-06
0.1,-0.15,0.199087,0.0103979,0.0105591,1.14229e-06
0.1,-0.1,0.203805,0.00792603,0.00838013,1.42176e-06
0.1,-0.05,0.201437,0.00427002,0.00651855,9.78342e-07
0.1,3.19189e-16,0.203149,0.000186768,0.00562622,1.41606e-06
0.1,0.05,0.201419,-0.00312256,0.00522949,1.23624e-06
0.1,0.1,0.203563,-0.00543091,0.00692017,1.27798e-06
0.1,0.15,0.199966,-0.0107263,0.0108752,1.15168e-06
0.1,0.2,0.198738,-0.0138916,0.0140527,1.36973e-06
0.1,0.25,0.197419,-0.0171216,0.0171216,9.86187e-07
0.1,0.3,0.194793,-0.0218079,0.0218079,1.33204e-06
0.1,0.35,0.194166,-0.0233936,0.0233936,1.15838e-06
0.1,0.4,0.191921,-0.0276855,0.0276855,1.15157e-06
0.1,0.45,0.187713,-0.0313135,0.0313135,1.53699e-06
0.1,0.5,0.185757,-0.0334277,0.0334277,1.24501e-06
0.1,0.55,0.180067,-0.038363,0.038363,1.29393e-06
0.1,0.6,0.173393,-0.0409839,0.0409839,1.29736e-06
0.1,0.65,0.168188,-0.0449072,0.0449072,1.25884e-06
0.1,0.7,0.16378,-0.0487952,0.0487952,2.28371e-06
0.1,0.75,0.156528,-0.0532654,0.0532654,1.52451e-06
0.1,0.8,0.15152,-0.0559705,0.0559705,1.68254e-06
0.1,0.85,0.145435,-0.0583582,0.0583582,1.73247e-06
0.1,0.9,0.137502,-0.0626172,0.0626172,1.71686e-06
0.1,0.95,0.131745,-0.0653784,0.0653784,2.26347e-06
0.15,-1,0.199863,0.0892847,0.0892847,4.76304e-06
0.15,-0.95,0.213751,0.0834644,0.0834644,3.55073e-06
0.15,-0.9,0.221227,0.0793494,0.0793494,3.96615e-06
0.15,-0.85,0.229842,0.0758325,0.0758325,3.66532e-06
0.15,-0.8,0.242125,0.0694666,0.0694666,4.47064e-06
0.15,-0.75,0.249538,0.066355,0.066355,4.04253e-06
