beta,h,mean_energy,mean_magnetization_abs,mean_magnetization,specific_heat
0.1,-1,-0.0906152,-0.154722,0.154722,1.76873e-06
0.1,-0.95,-0.0975128,-0.147545,0.147545,1.20962e-06
0.1,-0.9,-0.10889,-0.140002,0.140002,1.34967e-06
0.1,-0.85,-0.120035,-0.129839,0.129839,1.40907e-06
0.1,-0.8,-0.1293,-0.125222,0.125222,1.28529e-06
0.1,-0.75,-0.138157,-0.117803,0.117803,1.56948e-06
0.1,-0.7,-0.145544,-0.108329,0.108329,1.5501e-06
0.1,-0.65,-0.154674,-0.101321,0.101321,1.4269e-06
0.1,-0.6,-0.160138,-0.0950623,0.0950623,1.49576e-06
0.1,-0.55,-0.167991,-0.0872546,0.0872546,1.23337e-06
0.1,-0.5,-0.174654,-0.076239,0.076239,1.36753e-06
0.1,-0.45,-0.180543,-0.0705103,0.0705103,1.19258e-06
0.1,-0.4,-0.1864,-0.0613501,0.0613501,1.36789e-06
0.1,-0.35,-0.188357,-0.0519263,0.0519263,1.40401e-06
0.1,-0.3,-0.193745,-0.0459241,0.0459241,1.17451e-06
0.1,-0.25,-0.194417,-0.0371277,0.0371277,1.11075e-06
0.1,-0.2,-0.199594,-0.0318164,0.0318164,1.08873e-06
0.1,-0.15,-0.200839,-0.0246289,0.0246338,1.1767e-06
0.1,-0.1,-0.201171,-0.0162183,0.0166895,1.22478e-06
0.1,-0.05,-0.199687,-0.00685303,0.0100732,1.01897e-06
0.1,3.19189e-16,-0.203977,0.000861816,0.00773926,1.40312e-06
0.1,0.05,-0.201144,0.00772583,0.0106238,1.27042e-06
0.1,0.1,-0.201794,0.0153833,0.0153979,1.24506e-06
0.1,0.15,-0.201136,0.0237732,0.0238171,9.24349e-07
0.1,0.2,-0.198942,0.0306665,0.0306665,1.42665e-06
0.1,0.25,-0.19692,0.0393799,0.0393799,1.65394e-06
0.1,0.3,-0.191339,0.0468311,0.0468311,1.52221e-06
0.1,0.35,-0.191255,0.0546729,0.0546729,1.32658e-06
0.1,0.4,-0.184794,0.0634363,0.0634363,1.28042e-06
0.1,0.45,-0.178269,0.0690649,0.0690649,1.41037e-06
0.1,0.5,-0.174977,0.0792004,0.0792004,1.20276e-06
0.1,0.55,-0.166892,0.0855334,0.0855334,1.20546e-06
0.1,0.6,-0.160442,0.0941162,0.0941162,1.65331e-06
0.1,0.65,-0.154084,0.101188,0.101188,1.35152e-06
0.1,0.7,-0.147906,0.110076,0.110076,1.27529e-06
0.1,0.75,-0.140014,0.117791,0.117791,1.36556e-06
0.1,0.8,-0.126261,0.125835,0.125835,1.23088e-06
0.1,0.85,-0.119374,0.132296,0.132296,1.30008e-06
0.1,0.9,-0.108361,0.139459,0.139459,1.30584e-06
0.1,0.95,-0.0976698,0.149148,0.149148,1.54688e-06
0.15,-1,-0.146193,-0.294965,0.294965,2.60884e-06
0.15,-0.95,-0.160864,-0.280338,0.280338,2.58108e-06
0.15,-0.9,-0.175292,-0.267644,0.267644,3.40791e-06
0.15,-0.85,-0.191668,-0.253044,0.253044,2.716e-06
0.15,-0.8,-0.204915,-0.24006,0.24006,2.62192e-06
0.15,-0.75,-0.215613,-0.223586,0.223586,3.15999e-06
0.15,-0.7,-0.228528,-0.210746,0.210746,2.66775e-06
0.15,-0.65,-0.241251,-0.196313,0.196313,2.57112e-06
0.15,-0.6,-0.251246,-0.181001,0.181001,2.53418e-06
0.15,-0.55,-0.261403,-0.166843,0.166843,3.4413e-06
0.15,-0.5,-0.268835,-0.152163,0.152163,3.32095e-06
0.15,-0.45,-0.277143,-0.138191,0.138191,3.01836e-06
0.15,-0.4,-0.284285,-0.124194,0.124194,2.68393e-06
0.15,-0.35,-0.290566,-0.10775,0.10775,3.33156e-06
0.15,-0.3,-0.294635,-0.092168,0.092168,2.75606e-06
0.15,-0.25,-0.300951,-0.0776819,0.0776819,3.40367e-06
0.15,-0.2,-0.304887,-0.0617102,0.0617102,2.96248e-06
0.15,-0.15,-0.308355,-0.0480127,0.0480127,2.66379e-06
0.15,-0.1,-0.31208,-0.0319324,0.0319324,3.56813e-06
0.15,-0.05,-0.312123,-0.0139355,0.0146704,2.75936e-06
0.15,3.19189e-16,-0.310447,0.00139893,0.010376,2.36314e-06
0.15,0.05,-0.31136,0.0160132,0.0175049,2.85343e-06
0.15,0.1,-0.308021,0.0307471,0.0307471,3.67325e-06
0.15,0.15,-0.306786,0.0461658,0.0461658,3.01443e-06
0.15,0.2,-0.305098,0.0617908,0.0617908,2.26789e-06
0.15,0.25,-0.301126,0.0759656,0.0759656,2.5684e-06
0.15,0.3,-0.296218,0.091604,0.091604,2.55866e-06
0.15,0.35,-0.289751,0.107708,0.107708,3.02674e-06
0.15,0.4,-0.2843,0.124869,0.124869,3.11457e-06
0.15,0.45,-0.276505,0.13811,0.13811,2.87198e-06
0.15,0.5,-0.26896,0.153335,0.153335,2.81729e-06
0.15,0.55,-0.260354,0.168177,0.168177,2.93152e-06
0.15,0.6,-0.249199,0.183862,0.183862,3.38002e-06
0.15,0.65,-0.24154,0.195403,0.195403,3.25706e-06
0.15,0.7,-0.227974,0.211154,0.211154,3.23066e-06
0.15,0.75,-0.214294,0.229033,0.229033,2.97875e-06
0.15,0.8,-0.203968,0.238644,0.238644,3.01889e-06
0.15,0.85,-0.189951,0.2538,0.2538,2.62667e-06
0.15,0.9,-0.174925,0.26672,0.26672,2.90552e-06
0.15,0.95,-0.159456,0.281934,0.281934,2.96157e-06
0.2,-1,-0.250911,-0.484751,0.484751,3.70386e-06
0.2,-0.95,-0.270794,-0.466578,0.466578,4.09517e-06
0.2,-0.9,-0.287483,-0.448049,0.448049,3.92073e-06
0.2,-0.85,-0.302792,-0.429655,0.429655,4.59544e-06
0.2,-0.8,-0.31906,-0.411436,0.411436,3.61549e-06
0.2,-0.75,-0.331703,-0.386844,0.386844,4.41533e-06
0.2,-0.7,-0.344727,-0.365457,0.365457,5.19175e-06
0.2,-0.65,-0.35897,-0.343416,0.343416,5.7348e-06
0.2,-0.6,-0.367913,-0.32071,0.32071,5.02754e-06
0.2,-0.55,-0.377325,-0.295337,0.295337,6.20383e-06
0.2,-0.5,-0.383832,-0.272205,0.272205,5.30401e-06
0.2,-0.45,-0.392387,-0.247435,0.247435,6.9767e-06
0.2,-0.4,-0.400924,-0.22316,0.22316,5.4054e-06
0.2,-0.35,-0.408437,-0.194448,0.194448,4.32705e-06
0.2,-0.3,-0.414118,-0.169117,0.169117,7.58547e-06
0.2,-0.25,-0.417517,-0.14255,0.14255,5.73898e-06
0.2,-0.2,-0.421076,-0.115909,0.115909,5.02755e-06
0.2,-0.15,-0.424143,-0.0848987,0.0848987,6.14971e-06
0.2,-0.1,-0.428865,-0.0573962,0.0573962,5.44373e-06
0.2,-0.05,-0.426816,-0.0262366,0.0263318,6.2469e-06
0.2,3.19189e-16,-0.428662,0.00154663,0.0107434,4.67954e-06
0.2,0.05,-0.426278,0.0304932,0.0304932,5.22317e-06
0.2,0.1,-0.426346,0.0562866,0.0562866,6.29441e-06
0.2,0.15,-0.423805,0.0854736,0.0854736,5.34521e-06
0.2,0.2,-0.420935,0.112499,0.112499,6.41345e-06
0.2,0.25,-0.418008,0.140392,0.140392,5.72962e-06
0.2,0.3,-0.415351,0.16959,0.16959,5.86726e-06
0.2,0.35,-0.409027,0.196071,0.196071,5.60866e-06
0.2,0.4,-0.399843,0.222769,0.222769,6.58894e-06
0.2,0.45,-0.395356,0.247896,0.247896,4.59087e-06
0.2,0.5,-0.385424,0.272449,0.272449,6.40167e-06
0.2,0.55,-0.377347,0.29516,0.29516,6.32795e-06
0.2,0.6,-0.367036,0.318363,0.318363,5.12554e-06
0.2,0.65,-0.355324,0.343491,0.343491,5.43749e-06
0.2,0.7,-0.344075,0.364194,0.364194,4.96073e-06
0.2,0.75,-0.331013,0.385697,0.385697,4.75231e-06
0.2,0.8,-0.316688,0.406697,0.406697,4.77118e-06
0.2,0.85,-0.302149,0.429686,0.429686,4.55998e-06
0.2,0.9,-0.284374,0.44718,0.44718,4.34291e-06
0.2,0.95,-0.270212,0.465125,0.465125,3.93978e-06
0.25,-1,-0.433705,-0.678954,0.678954,8.52412e-06
0.25,-0.95,-0.453797,-0.665223,0.665223,8.71606e-06
0.25,-0.9,-0.474633,-0.649211,0.649211,9.54587e-06
0.25,-0.85,-0.486588,-0.627124,0.627124,6.84699e-06
0.25,-0.8,-0.502923,-0.608969,0.608969,8.43447e-06
0.25,-0.75,-0.51839,-0.588026,0.588026,7.8594e-06
0.25,-0.7,-0.531682,-0.564921,0.564921,8.56221e-06
0.25,-0.65,-0.538942,-0.538445,0.538445,1.06133e-05
0.25,-0.6,-0.549023,-0.513176,0.513176,9.64728e-06
0.25,-0.55,-0.555131,-0.485371,0.485371,1.09892e-05
0.25,-0.5,-0.55793,-0.451219,0.451219,7.8433e-06
0.25,-0.45,-0.563657,-0.418099,0.418099,1.02959e-05
0.25,-0.4,-0.564142,-0.381357,0.381357,1.07772e-05
0.25,-0.35,-0.564568,-0.340854,0.340854,9.39761e-06
0.25,-0.3,-0.562744,-0.296477,0.296477,1.19794e-05
0.25,-0.25,-0.563842,-0.25267,0.25267,1.03049e-05
0.25,-0.2,-0.562393,-0.206588,0.206588,9.37574e-06
0.25,-0.15,-0.558986,-0.159056,0.159056,9.81039e-06
0.25,-0.1,-0.558757,-0.104467,0.104467,8.68604e-06
0.25,-0.05,-0.557268,-0.0541577,0.0541577,1.19004e-05
0.25,3.19189e-16,-0.558337,0.000876465,0.0112549,9.2348e-06
0.25,0.05,-0.556594,0.0540613,0.0540613,9.41258e-06
0.25,0.1,-0.559939,0.105057,0.105057,1.00949e-05
0.25,0.15,-0.560481,0.15781,0.15781,1.20693e-05
0.25,0.2,-0.563415,0.205851,0.205851,1.2077e-05
0.25,0.25,-0.56008,0.255394,0.255394,1.16508e-05
0.25,0.3,-0.564384,0.297081,0.297081,9.87974e-06
0.25,0.35,-0.564185,0.342646,0.342646,1.34505e-05
0.25,0.4,-0.563604,0.378306,0.378306,1.14353e-05
0.25,0.45,-0.564132,0.418177,0.418177,1.09994e-05
0.25,0.5,-0.559752,0.449998,0.449998,1.27732e-05
0.25,0.55,-0.554114,0.483717,0.483717,8.82753e-06
0.25,0.6,-0.547877,0.511908,0.511908,9.2339e-06
0.25,0.65,-0.540187,0.540581,0.540581,1.09899e-05
0.25,0.7,-0.528376,0.56317,0.56317,8.63412e-06
0.25,0.75,-0.517244,0.585833,0.585833,8.50333e-06
0.25,0.8,-0.504854,0.609216,0.609216,7.09808e-06
0.25,0.85,-0.487594,0.629169,0.629169,6.64794e-06
0.25,0.9,-0.471417,0.647837,0.647837,7.55905e-06
0.25,0.95,-0.452964,0.664451,0.664451,7.8497e-06
0.3,-1,-0.631383,-0.824562,0.824562,7.52575e-06
0.3,-0.95,-0.656174,-0.813665,0.813665,1.13829e-05
0.3,-0.9,-0.682505,-0.802816,0.802816,1.08292e-05
0.3,-0.85,-0.705835,-0.791082,0.791082,1.25626e-05
0.3,-0.8,-0.729277,-0.778064,0.778064,1.44417e-05
0.3,-0.75,-0.748072,-0.763287,0.763287,1.12442e-05
0.3,-0.7,-0.763715,-0.746039,0.746039,1.44011e-05
0.3,-0.65,-0.781305,-0.730106,0.730106,1.5184e-05
0.3,-0.6,-0.791446,-0.707633,0.707633,1.78716e-05
0.3,-0.55,-0.799187,-0.68556,0.68556,1.89096e-05
0.3,-0.5,-0.804513,-0.659099,0.659099,1.57303e-05
0.3,-0.45,-0.808121,-0.628573,0.628573,1.7625e-05
0.3,-0.4,-0.80767,-0.594796,0.594796,1.73799e-05
0.3,-0.35,-0.800756,-0.552736,0.552736,2.05888e-05
0.3,-0.3,-0.790541,-0.507467,0.507467,2.1998e-05
0.3,-0.25,-0.7738,-0.448228,0.448228,2.29328e-05
0.3,-0.2,-0.759012,-0.379401,0.379401,1.61232e-05
0.3,-0.15,-0.738476,-0.30103,0.30103,2.17325e-05
0.3,-0.1,-0.719296,-0.208143,0.208143,1.54553e-05
0.3,-0.05,-0.710891,-0.107908,0.107908,1.89564e-05
0.3,3.19189e-16,-0.705928,0.000136719,0.0187207,1.46176e-05
0.3,0.05,-0.708398,0.108215,0.108215,1.65891e-05
0.3,0.1,-0.717205,0.20703,0.20703,1.7994e-05
0.3,0.15,-0.737273,0.299185,0.299185,1.66019e-05
0.3,0.2,-0.758006,0.384895,0.384895,2.26821e-05
0.3,0.25,-0.774865,0.445802,0.445802,2.09883e-05
0.3,0.3,-0.785031,0.501467,0.501467,2.51312e-05
0.3,0.35,-0.797138,0.550204,0.550204,1.62688e-05
0.3,0.4,-0.805182,0.591879,0.591879,2.33349e-05
0.3,0.45,-0.808404,0.629246,0.629246,1.73012e-05
0.3,0.5,-0.808795,0.660994,0.660994,2.05162e-05
0.3,0.55,-0.799841,0.684016,0.684016,1.61516e-05
0.3,0.6,-0.792231,0.708424,0.708424,1.30906e-05
0.3,0.65,-0.780068,0.728658,0.728658,1.82644e-05
0.3,0.7,-0.763408,0.746624,0.746624,1.11804e-05
0.3,0.75,-0.74595,0.76278,0.76278,1.66791e-05
0.3,0.8,-0.726274,0.777325,0.777325,1.26079e-05
0.3,0.85,-0.705422,0.790769,0.790769,1.28512e-05
0.3,0.9,-0.6829,0.803722,0.803722,9.30112e-06
0.3,0.95,-0.658103,0.814797,0.814797,1.01502e-05
0.35,-1,-0.777054,-0.906029,0.906029,1.05018e-05
0.35,-0.95,-0.81193,-0.900438,0.900438,8.0468e-06
0.35,-0.9,-0.845867,-0.893994,0.893994,1.07876e-05
0.35,-0.85,-0.878959,-0.888058,0.888058,1.13767e-05
0.35,-0.8,-0.911534,-0.881222,0.881222,1.35754e-05
0.35,-0.75,-0.938979,-0.872236,0.872236,1.77837e-05
0.35,-0.7,-0.964664,-0.862408,0.862408,1.58668e-05
0.35,-0.65,-0.992914,-0.853983,0.853983,1.8486e-05
0.35,-0.6,-1.01483,-0.84109,0.84109,2.04054e-05
0.35,-0.55,-1.03917,-0.83062,0.83062,2.22192e-05
0.35,-0.5,-1.05261,-0.81373,0.81373,2.31665e-05
0.35,-0.45,-1.06719,-0.796315,0.796315,1.89181e-05
0.35,-0.4,-1.07746,-0.776226,0.776226,1.92703e-05
0.35,-0.35,-1.08101,-0.751484,0.751484,2.8767e-05
0.35,-0.3,-1.07971,-0.720327,0.720327,3.31524e-05
0.35,-0.25,-1.06664,-0.679272,0.679272,3.23836e-05
0.35,-0.2,-1.04689,-0.626129,0.626129,3.4476e-05
0.35,-0.15,-1.00965,-0.546188,0.546188,3.67744e-05
0.35,-0.1,-0.963816,-0.433597,0.433597,4.3141e-05
0.35,-0.05,-0.909228,-0.247566,0.247566,2.88882e-05
0.35,3.19189e-16,-0.879282,-0.0016394,0.0273621,2.97858e-05
0.35,0.05,-0.907635,0.249303,0.249303,2.54166e-05
0.35,0.1,-0.963597,0.435564,0.435564,2.9261e-05
0.35,0.15,-1.01055,0.548818,0.548818,3.98464e-05
0.35,0.2,-1.04777,0.627081,0.627081,3.85814e-05
0.35,0.25,-1.06657,0.678406,0.678406,3.5228e-05
0.35,0.3,-1.07971,0.720953,0.720953,3.33874e-05
0.35,0.35,-1.08138,0.751426,0.751426,3.62664e-05
0.35,0.4,-1.07462,0.77474,0.77474,3.16784e-05
0.35,0.45,-1.06717,0.796561,0.796561,2.1132e-05
0.35,0.5,-1.05369,0.813787,0.813787,2.28536e-05
0.35,0.55,-1.0362,0.829425,0.829425,1.75544e-05
0.35,0.6,-1.01465,0.841416,0.841416,2.21891e-05
0.35,0.65,-0.992434,0.853414,0.853414,1.49655e-05
0.35,0.7,-0.965047,0.862816,0.862816,1.50768e-05
0.35,0.75,-0.938429,0.872177,0.872177,1.50184e-05
0.35,0.8,-0.91065,0.880718,0.880718,1.18679e-05
0.35,0.85,-0.878425,0.88748,0.88748,1.08305e-05
0.35,0.9,-0.8458,0.894149,0.894149,1.17443e-05
0.35,0.95,-0.81116,0.899745,0.899745,1.05135e-05
0.4,-1,-0.869189,-0.948711,0.948711,7.62644e-06
0.4,-0.95,-0.910482,-0.946083,0.946083,6.32084e-06
0.4,-0.9,-0.94835,-0.941937,0.941937,9.35905e-06
0.4,-0.85,-0.988675,-0.938577,0.938577,1.00709e-05
0.4,-0.8,-1.02852,-0.935259,0.935259,1.09257e-05
0.4,-0.75,-1.06434,-0.930299,0.930299,1.00199e-05
0.4,-0.7,-1.09965,-0.925439,0.925439,1.02971e-05
0.4,-0.65,-1.13594,-0.920641,0.920641,1.72861e-05
0.4,-0.6,-1.16794,-0.914064,0.914064,1.23329e-05
0.4,-0.55,-1.19967,-0.907322,0.907322,1.67298e-05
0.4,-0.5,-1.23024,-0.900414,0.900414,1.65898e-05
0.4,-0.45,-1.25638,-0.891488,0.891488,2.13477e-05
0.4,-0.4,-1.28522,-0.882834,0.882834,2.23658e-05
0.4,-0.35,-1.30645,-0.871272,0.871272,2.81021e-05
0.4,-0.3,-1.32274,-0.855734,0.855734,2.64932e-05
0.4,-0.25,-1.33541,-0.838912,0.838912,3.70457e-05
0.4,-0.2,-1.33538,-0.813457,0.813457,3.77277e-05
0.4,-0.15,-1.32981,-0.778677,0.778677,4.33213e-05
0.4,-0.1,-1.30746,-0.728225,0.728225,6.2262e-05
0.4,-0.05,-1.2382,-0.604934,0.604934,6.61109e-05
0.4,3.19189e-16,-1.10402,0.0149414,0.0525513,4.81376e-05
0.4,0.05,-1.23722,0.604208,0.604208,7.70923e-05
0.4,0.1,-1.30151,0.723284,0.723284,6.06041e-05
0.4,0.15,-1.33275,0.782295,0.782295,5.28015e-05
0.4,0.2,-1.33667,0.813107,0.813107,3.54729e-05
0.4,0.25,-1.33199,0.836392,0.836392,3.83663e-05
0.4,0.3,-1.32337,0.856012,0.856012,2.51171e-05
0.4,0.35,-1.3025,0.868949,0.868949,1.97327e-05
0.4,0.4,-1.282,0.881436,0.881436,2.08745e-05
0.4,0.45,-1.25722,0.891616,0.891616,1.9469e-05
0.4,0.5,-1.23264,0.901459,0.901459,2.14688e-05
