n_hor,n_ver,n_tot,eta,S
151,168,319,0.62304688,-0.053291536
165,158,323,0.63085938,0.021671827
157,178,335,0.65429688,-0.062686567
176,140,316,0.6171875,0.11392405
233,101,334,0.65234375,0.39520958
279,59,338,0.66015625,0.65088757
251,77,328,0.640625,0.5304878
239,75,314,0.61328125,0.52229299
251,77,328,0.640625,0.5304878
212,128,340,0.6640625,0.24705882
279,55,334,0.65234375,0.67065868
297,38,335,0.65429688,0.77313433
301,27,328,0.640625,0.83536585
304,25,329,0.64257812,0.84802432
290,41,331,0.64648438,0.75226586
301,27,328,0.640625,0.83536585
320,5,325,0.63476562,0.96923077
315,8,323,0.63085938,0.9504644
314,18,332,0.6484375,0.89156627
316,20,336,0.65625,0.88095238
315,7,322,0.62890625,0.95652174
303,27,330,0.64453125,0.83636364
305,13,318,0.62109375,0.91823899
335,4,339,0.66210938,0.97640118
298,28,326,0.63671875,0.82822086
293,37,330,0.64453125,0.77575758
316,20,336,0.65625,0.88095238
315,23,338,0.66015625,0.86390533
315,20,335,0.65429688,0.88059701
314,19,333,0.65039062,0.88588589
308,27,335,0.65429688,0.83880597
279,44,323,0.63085938,0.72755418
278,45,323,0.63085938,0.72136223
300,32,332,0.6484375,0.80722892
289,32,321,0.62695312,0.80062305
292,34,326,0.63671875,0.79141104
309,36,345,0.67382812,0.79130435
328,12,340,0.6640625,0.92941176
314,14,328,0.640625,0.91463415
321,7,328,0.640625,0.95731707
307,29,336,0.65625,0.82738095
333,6,339,0.66210938,0.96460177
328,12,340,0.6640625,0.92941176
319,12,331,0.64648438,0.92749245
313,27,340,0.6640625,0.84117647
333,11,344,0.671875,0.93604651
321,16,337,0.65820312,0.90504451
321,5,326,0.63671875,0.96932515
321,16,337,0.65820312,0.90504451
314,27,341,0.66601562,0.84164223
305,27,332,0.6484375,0.8373494
343,7,350,0.68359375,0.96
337,0,337,0.65820312,1
322,17,339,0.66210938,0.89970501
302,28,330,0.64453125,0.83030303
344,0,344,0.671875,1
335,4,339,0.66210938,0.97640118
334,8,342,0.66796875,0.95321637
318,14,332,0.6484375,0.91566265
322,13,335,0.65429688,0.92238806
325,7,332,0.6484375,0.95783133
310,22,332,0.6484375,0.86746988
311,19,330,0.64453125,0.88484848
308,24,332,0.6484375,0.85542169
282,42,324,0.6328125,0.74074074
249,76,325,0.63476562,0.53230769
262,64,326,0.63671875,0.60736196
319,17,336,0.65625,0.89880952
341,6,347,0.67773438,0.96541787
329,12,341,0.66601562,0.92961877
337,4,341,0.66601562,0.97653959
335,12,347,0.67773438,0.93083573
318,11,329,0.64257812,0.9331307
305,11,316,0.6171875,0.93037975
306,21,327,0.63867188,0.87155963
300,27,327,0.63867188,0.83486239
314,12,326,0.63671875,0.92638037
330,2,332,0.6484375,0.98795181
292,42,334,0.65234375,0.74850299
316,21,337,0.65820312,0.87537092
319,13,332,0.6484375,0.92168675
310,18,328,0.640625,0.8902439
327,19,346,0.67578125,0.89017341
317,13,330,0.64453125,0.92121212
314,19,333,0.65039062,0.88588589
320,2,322,0.62890625,0.98757764
328,7,335,0.65429688,0.95820896
328,8,336,0.65625,0.95238095
316,18,334,0.65234375,0.89221557
326,11,337,0.65820312,0.9347181
319,17,336,0.65625,0.89880952
320,18,338,0.66015625,0.89349112
331,13,344,0.671875,0.9244186
350,1,351,0.68554688,0.99430199
314,16,330,0.64453125,0.9030303
329,8,337,0.65820312,0.95252226
342,1,343,0.66992188,0.9941691
331,4,335,0.65429688,0.9761194
324,19,343,0.66992188,0.88921283
318,13,331,0.64648438,0.92145015
288,56,344,0.671875,0.6744186
317,19,336,0.65625,0.88690476
285,39,324,0.6328125,0.75925926
294,31,325,0.63476562,0.80923077
300,32,332,0.6484375,0.80722892
279,55,334,0.65234375,0.67065868
321,16,337,0.65820312,0.90504451
331,6,337,0.65820312,0.96439169
327,4,331,0.64648438,0.97583082
326,3,329,0.64257812,0.98176292
323,9,332,0.6484375,0.94578313
332,7,339,0.66210938,0.95870206
338,9,347,0.67773438,0.9481268
296,35,331,0.64648438,0.78851964
307,25,332,0.6484375,0.84939759
308,27,335,0.65429688,0.83880597
303,26,329,0.64257812,0.84194529
294,31,325,0.63476562,0.80923077
311,20,331,0.64648438,0.87915408
314,31,345,0.67382812,0.82028986
298,28,326,0.63671875,0.82822086
314,28,342,0.66796875,0.83625731
322,6,328,0.640625,0.96341463
311,35,346,0.67578125,0.79768786
296,37,333,0.65039062,0.77777778
311,14,325,0.63476562,0.91384615
329,2,331,0.64648438,0.98791541
331,14,345,0.67382812,0.91884058
335,1,336,0.65625,0.99404762
334,1,335,0.65429688,0.99402985
315,29,344,0.671875,0.83139535
335,8,343,0.66992188,0.95335277
322,13,335,0.65429688,0.92238806
309,27,336,0.65625,0.83928571
