n_hor,n_ver,n_tot,eta,S
135,181,316,0.6171875,-0.14556962
178,129,307,0.59960938,0.15960912
185,116,301,0.58789062,0.22923588
286,36,322,0.62890625,0.77639752
292,21,313,0.61132812,0.8658147
284,29,313,0.61132812,0.81469649
272,52,324,0.6328125,0.67901235
259,57,316,0.6171875,0.63924051
275,53,328,0.640625,0.67682927
304,12,316,0.6171875,0.92405063
290,36,326,0.63671875,0.7791411
278,33,311,0.60742188,0.78778135
306,23,329,0.64257812,0.86018237
284,39,323,0.63085938,0.75851393
316,7,323,0.63085938,0.95665635
277,49,326,0.63671875,0.6993865
243,74,317,0.61914062,0.53312303
242,66,308,0.6015625,0.57142857
240,80,320,0.625,0.5
268,52,320,0.625,0.675
295,38,333,0.65039062,0.77177177
305,15,320,0.625,0.90625
285,26,311,0.60742188,0.83279743
311,18,329,0.64257812,0.89057751
242,72,314,0.61328125,0.54140127
264,46,310,0.60546875,0.70322581
261,58,319,0.62304688,0.63636364
211,105,316,0.6171875,0.33544304
238,80,318,0.62109375,0.49685535
227,92,319,0.62304688,0.42319749
212,116,328,0.640625,0.29268293
177,129,306,0.59765625,0.15686275
200,111,311,0.60742188,0.28617363
139,170,309,0.60351562,-0.10032362
188,122,310,0.60546875,0.21290323
226,93,319,0.62304688,0.4169279
197,113,310,0.60546875,0.27096774
176,136,312,0.609375,0.12820513
167,145,312,0.609375,0.070512821
184,129,313,0.61132812,0.17571885
178,115,293,0.57226562,0.21501706
238,77,315,0.61523438,0.51111111
225,91,316,0.6171875,0.42405063
268,53,321,0.62695312,0.66978193
216,90,306,0.59765625,0.41176471
266,57,323,0.63085938,0.64705882
292,35,327,0.63867188,0.78593272
290,22,312,0.609375,0.85897436
305,17,322,0.62890625,0.89440994
274,37,311,0.60742188,0.76205788
272,49,321,0.62695312,0.69470405
248,68,316,0.6171875,0.56962025
157,146,303,0.59179688,0.03630363
139,173,312,0.609375,-0.10897436
122,196,318,0.62109375,-0.2327044
140,179,319,0.62304688,-0.12225705
145,163,308,0.6015625,-0.058441558
188,128,316,0.6171875,0.18987342
177,141,318,0.62109375,0.11320755
200,125,325,0.63476562,0.23076923
226,103,329,0.64257812,0.37386018
201,105,306,0.59765625,0.31372549
252,57,309,0.60351562,0.63106796
297,30,327,0.63867188,0.81651376
265,57,322,0.62890625,0.64596273
245,65,310,0.60546875,0.58064516
207,97,304,0.59375,0.36184211
234,84,318,0.62109375,0.47169811
243,75,318,0.62109375,0.52830189
267,52,319,0.62304688,0.67398119
273,45,318,0.62109375,0.71698113
258,61,319,0.62304688,0.61755486
243,70,313,0.61132812,0.55271565
266,44,310,0.60546875,0.71612903
265,45,310,0.60546875,0.70967742
286,31,317,0.61914062,0.8044164
288,27,315,0.61523438,0.82857143
294,17,311,0.60742188,0.89067524
312,7,319,0.62304688,0.95611285
287,23,310,0.60546875,0.8516129
282,37,319,0.62304688,0.76802508
303,13,316,0.6171875,0.91772152
282,42,324,0.6328125,0.74074074
267,52,319,0.62304688,0.67398119
240,78,318,0.62109375,0.50943396
221,98,319,0.62304688,0.38557994
275,39,314,0.61328125,0.75159236
288,36,324,0.6328125,0.77777778
281,35,316,0.6171875,0.77848101
297,11,308,0.6015625,0.92857143
318,12,330,0.64453125,0.92727273
317,8,325,0.63476562,0.95076923
329,3,332,0.6484375,0.98192771
318,10,328,0.640625,0.93902439
307,20,327,0.63867188,0.87767584
290,13,303,0.59179688,0.91419142
294,31,325,0.63476562,0.80923077
257,65,322,0.62890625,0.59627329
280,38,318,0.62109375,0.76100629
